,details
86,"{'Location': 'Hulimangala Main Road Cloud 9 Hospital Electronics City Phase 1 Royal Ruby Hotel Electronic City Phase 1 Near Temple Tree Leisure, Electronic City, Bangalore, India, 560100', 'overall_rating': '2.0', 'Name': 'Hotel Royal Ruby By WB Inn', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Very worst service ”', 'Review_Body': 'Dont book throug agoda also'}], 'price': '949', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/420195383.jpg?k=2a02a59e4ce7f397041dc79996e6378e3b5ea348143f89e820793e002289f54a&o=', 'room_size': '11m²', 'amenities': ['Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'TV [flat screen]', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-royal-ruby-by-wb-inn/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
87,"{'Location': 'Near Lions Club, Nilavur Road, Yelagiri Hills, Whitefield, Bangalore, India, 635853', 'overall_rating': '8.3', 'Name': 'Treebo Trend Laa Gardenia Resort', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Wonderful place and good location”', 'Review_Body': 'The location of this place is very nice, few activities are near to this resort. This is best suited for all including couples, elder people and kids. '}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Good stay in all prospects... specially hospitality'}, {'Review_Rating': '2.0', 'Review_Heading': 'Worst hotel”', 'Review_Body': 'This is the worst hotel I have ever stayed in yelagiri. Bad service, arrogant staff behaviour, poor hygiene… please stay away from this place and opt for other good hotel for stay!!'}, {'Review_Rating': '3.6', 'Review_Heading': 'Not worthy of the price”', 'Review_Body': ""We stayed in Treebo Gardenia Yelagiri resort for 2 days. It is only worth one third of money they charge. Villa is spacious but is with smelly rooms and untidy toilet with eroded bathroom door. The size of the swimming pool and the other spaces are very small and not as you see in the pictures. Only good thing is the staff. In total, it's not worthy of the money we spend. ""}, {'Review_Rating': '3.6', 'Review_Heading': 'Not recommended ”', 'Review_Body': 'Always water leaking inside the room '}, {'Review_Rating': '6.8', 'Review_Heading': 'Good”', 'Review_Body': 'Food is served from outside.No kitchen in the property.Breakfast expected around 8.30 9.00am'}, {'Review_Rating': '8.0', 'Review_Heading': 'Peaceful stay”', 'Review_Body': 'I went for a weekend stay with my Wife.  Over all Treebo was very Good and peaceful destination for a perfect vacation. Worth for money. If you go without any expectation, you will enjoy this resort. '}], 'price': '5,051', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/155058355.jpg?k=cec05bdd7380f68ee3c98300393211b8998b2253a0883edbcac6867c34d463e7&o=', 'room_size': '56m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Fan', 'Linens', 'Wake-up service', 'Coffee/tea maker', 'Free bottled water', 'Closet', 'Clothes rack', 'Ironing facilities', 'Accessible by stairs'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/treebo-trend-laa-gardenia-resort/hotel/thiruvanamalai-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
88,"{'Location': 'No. 273/4 6th main road 2nd cross Subedar Chatram Road, Bangalore City Center, Bangalore, India, 560009', 'overall_rating': '7.9', 'Name': 'Sri Durgamba Lodge', 'reviews': [{'Review_Rating': '5.0', 'Review_Heading': 'Adequate seeing as I paid £7/night”', 'Review_Body': 'Staff were helpful in pointing out places to try foods etc. \r\nLocation close to bus/train station\r\nAC surprisingly effective'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': 'Convenient place, cleanliness is good,'}, {'Review_Rating': '3.0', 'Review_Heading': 'Could have been better”', 'Review_Body': 'Only good thing about this property is its location'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': 'Affordable and very spacious room for the best price'}, {'Review_Rating': '4.0', 'Review_Heading': 'Disappointing”', 'Review_Body': 'Hot water was allowed in the morning from 6 to 8\nNo room service was available\nAnd the toilet was indian'}, {'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'Decent and pretty clean rooms for very low prices in an excellent central location.'}, {'Review_Rating': '6.0', 'Review_Heading': 'Pleasent”', 'Review_Body': 'The places I quite clean , the staff at reception are professional and nice.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Friendlyness'}, {'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'Room and toilet was good, cleanliness was there'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very Good”', 'Review_Body': ""The staff was friendly and approachable. It's safe and  staff is helpful in case you have any problems.""}], 'price': '830', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/400258862.jpg?k=a8d195624689fd2b7d79877bb0d2d10d99e25f944f6f0a6b6b65a44f5d64b424&o=', 'room_size': '33m²', 'amenities': ['2 single beds', 'Bathtub', 'TV [flat screen]'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/sri-durgamba-lodge/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=1&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
89,"{'Location': '4, Govindswamy layout, Tarabanahalli, Behind ITC factory, Devanahalli, Bangalore, India', 'overall_rating': '5.7', 'Name': 'OYO Flagship 11419 Surya Residency', 'reviews': [{'Review_Rating': '3.6', 'Review_Heading': 'Acceptable”', 'Review_Body': ""They don't allow Agoda cash an they demand extra amount\n""}], 'price': '906', 'img_link': 'https://pix8.agoda.net/hotelImages/5042241/-1/ddcb5591e68f9e28e3085557d64ccf23.jpg?ca=9&ce=1&s=1024x768', 'room_size': '16m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Hair dryer', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Blackout curtains', 'Fan', 'Linens', 'Coffee/tea maker', 'Full kitchen', 'Refrigerator', 'Desk', 'Seating area', 'Closet', 'Fire extinguisher', 'First aid kit'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-11419-surya-residency/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
90,"{'Location': 'Puttenahalli Rd, Jp Nagar, Bangalore, Jayanagar, Bangalore, India, 560078', 'overall_rating': '3.8', 'Name': 'Flagship Elite Stay Near Ragigudda Sri Prasanna Anjaneyaswamy Temple', 'reviews': [{'Review_Rating': '1.0', 'Review_Heading': 'Looting”', 'Review_Body': 'They charged more than tariff shown in booking.com\n And mid night no option reception person rude and demanded to paid extra.'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nathing any likes'}, {'Review_Rating': '1.0', 'Review_Heading': 'Worst hotel”', 'Review_Body': 'Nothing is good'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Actually there is no such property here ,Just waste of time and for those who pay in advance the total money will be a complete loss for them'}, {'Review_Rating': '5.0', 'Review_Heading': 'Passable”', 'Review_Body': 'Nothing has been provided'}, {'Review_Rating': '1.0', 'Review_Heading': 'You better improvise”', 'Review_Body': 'How can I like it. When I was denied the rooms\nThough I had done partial payment'}, {'Review_Rating': '1.0', 'Review_Heading': 'utter waste.”', 'Review_Body': 'Nothing.'}], 'price': '977', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/408853837.jpg?k=290b42d01db4705f7b1235f7bbffc57e674ad6b1bad1f23a1bf5158f24064036&o=', 'room_size': '0', 'amenities': ['Shower', 'Toiletries', 'Towels', 'Telephone', 'TV', 'Air conditioning', 'Fan', 'Linens', 'Trash cans', 'Closet'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/flagship-elite-stay-near-ragigudda-sri-prasanna-anjaneyaswamy-temple/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
91,"{'Location': 'Kings Suites, No 8, Hennur Main Road , Near Dmart , Dry Fruit House Lane, Bangalore - 560043, HBR Layout, Bangalore, India, 560043', 'overall_rating': 'Select your room', 'Name': 'FabHotel Kings Suites', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Acceptable”', 'Review_Body': ""I came to check in at the hotel, but the staff said the room was full, even though I could book the hotel online, the worst service I've ever booked, and the prices of the staff didn't match""}], 'price': '1,467', 'img_link': 'https://pix8.agoda.net/hotelImages/34505882/-1/a886edf2b9c7cc6af8c5e95dfa4b6f5c.jpg?ce=0&s=1024x768', 'room_size': '150m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Mirror', 'Toiletries', 'Towels', 'Telephone', 'TV [flat screen]', 'Wi-Fi [free]', 'Air conditioning', 'Daily newspaper', 'Fan', 'Hand sanitizer', 'Free bottled water', 'Seating area', 'Trash cans', 'Closet', 'Clothes rack', 'Fire extinguisher'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/fabhotel-kings-suites/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
92,"{'Location': 'MyWorkStay Opposite royal Meadows,Royal Enclave , Srirampura jakkur,Bengaluru ,Karnataka 560064 india, Devanahalli, Bangalore, India, 560064', 'overall_rating': '8.5', 'Name': 'MyWorkStay Manyata MWM', 'reviews': [{'Review_Rating': '5.0', 'Review_Heading': 'Not recommended”', 'Review_Body': 'Staff and access to location was very easy'}, {'Review_Rating': '10.0', 'Review_Heading': 'Pleasant stay”', 'Review_Body': 'Great stay'}, {'Review_Rating': '10.0', 'Review_Heading': 'Sparkling clean”', 'Review_Body': 'Wonderful stay. Value for money. Courteous Staff. Sparkling clean.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Cleaned nice rooms”', 'Review_Body': 'Well Maintained property, Cleaned Nice Rooms, Interior, Location and polite staff.'}], 'price': '1,089', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/410721060.jpg?k=5c557ae05ca019e27ea3019a3aa7926534c435806e990a09a45af09b85e0ae0c&o=', 'room_size': '19m²', 'amenities': ['Balcony/terrace', 'Kitchenette', 'Free Wi-Fi', 'Toiletries', 'Free Wi-Fi in all rooms!', 'TV [flat screen]', 'Full kitchen'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/myworkstay-manyata-mwm/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
93,"{'Location': '#14, 80ft. Road, 6th Block, Near Hanuman Temple, Koramangala, Banglore-560095, Jayanagar, Bangalore, India, 560095', 'overall_rating': 'Select your room', 'Name': 'Hotel Gangothri', 'reviews': [{'Review_Rating': '7.3', 'Review_Heading': 'Value for money”', 'Review_Body': 'Clean'}, {'Review_Rating': '6.7', 'Review_Heading': 'Good hotel and descent service”', 'Review_Body': 'Locality'}], 'price': '1,321', 'img_link': 'https://pix8.agoda.net/hotelImages/109347/-1/62d8503915719aeec977a2d0c5e5f9b5.jpg?ca=13&ce=1&s=1024x768', 'room_size': '17m²', 'amenities': ['Outdoor view', 'Shower and bathtub', 'Executive lounge access', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Walk-in shower', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Fan', 'Linens', 'Private entrance', 'Sleep comfort items', 'Wake-up service', 'Wine glasses', 'Desk', 'Seating area', 'Tile/marble flooring', 'Closet', 'Clothes rack', 'Ironing facilities', 'Trouser press', 'Accessible by elevator', 'In-room safe box', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-gangothri/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
94,"{'Location': 'The Grand resorts Hotel rooms , opposite to D mart Hennur Main Road Bangalore , HBR Layout, Bangalore, India, 560043', 'overall_rating': '10', 'Name': 'The Grand Budget Hotel', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Great Experience”', 'Review_Body': 'Location, Property, Staff and Service.'}], 'price': '1,543', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/408789514.jpg?k=249dfd48ca82b5436926176f32d72cda1b2031e4626502eaf68553c7afe4abed&o=', 'room_size': '0', 'amenities': ['Balcony/terrace', 'Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'TV [flat screen]'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/the-grand-budget-hotel/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
95,"{'Location': 'Rachenahalli Main Road, Near Manyata Tech Park Gate 4 Bangalore, Devanahalli, Bangalore, India, 560005', 'overall_rating': '6.0', 'Name': 'Super OYO Collection O 90316 Manyata Palace', 'reviews': [{'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Worst'}, {'Review_Rating': '1.0', 'Review_Heading': 'Very Bad”', 'Review_Body': 'Nothing'}, {'Review_Rating': '1.0', 'Review_Heading': 'pathetic and unhealthy”', 'Review_Body': 'there were blood stains in the bed, pillows and dirty walls. there was no car parking space. there were bed bugs in the room and the room was filled with cigarette smoke. horrible stay and a shame this was suggested to me by booking.com after my previous hotel was cancelled by the property at last minute due to booking.com issue'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nothing...'}, {'Review_Rating': '9.0', 'Review_Heading': 'Superb”', 'Review_Body': 'Stay is good! Rooms are clean and well maintained.'}, {'Review_Rating': '8.0', 'Review_Heading': 'it was nice and affordable price”', 'Review_Body': 'room space'}, {'Review_Rating': '9.0', 'Review_Heading': 'Superb”', 'Review_Body': 'Location, staff was good.even room was good'}, {'Review_Rating': '1.0', 'Review_Heading': 'lights were disconneceted in midnight”', 'Review_Body': 'nothing'}], 'price': '669', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/415786106.jpg?k=f5b567ae433a06ba4bcc2f0efbe0c771d36aa97e2b22317a9b3806b17f488c79&o=', 'room_size': '17m²', 'amenities': ['Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'TV', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/capital-o-90316-manyata-palace/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=3&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
96,"{'Location': '#137 Geology Layout 60feet road Sri Gandada Kavala Jnanabharathi, Bangalore City Center, Bangalore, India, 560091', 'overall_rating': '7.0', 'Name': 'Hotel Sri Sai Ram Suites', 'reviews': [{'Review_Rating': '5.0', 'Review_Heading': 'I booked it through booking.com which provided wrong information. It states 4Star Hotel in booking c”', 'Review_Body': 'Room Size.'}, {'Review_Rating': '8.0', 'Review_Heading': 'nice value for money hotel”', 'Review_Body': 'Cleanliness'}, {'Review_Rating': '4.0', 'Review_Heading': 'NOT HAPPY”', 'Review_Body': 'Not much, not happy!! Hotel needs lot of revamping and basic work in REST rooms/bathrooms. They need to make it brighter cleaner and more ambient'}], 'price': '1,164', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/max500/408732098.jpg?k=74b44cb141ee6c708280efb55637a3b5b36bcfe14868a92fe200e772f43b3bad&o=', 'room_size': '11m²', 'amenities': ['Outdoor view', 'Balcony/terrace', 'TV [flat screen]', 'Air conditioning', 'Fan', 'Private entrance', 'Closet'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-sri-sai-ram-suites/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
97,"{'Location': '26, 4th A Cross, Bhuvaneshwari Nagar, Dasarahalli Main Road, Hebbal, Bangalore, Devanahalli, Bangalore, India, 560092', 'overall_rating': '5.0', 'Name': 'Collection O 73834 Silver Suites                                                           ', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': ""It's a fake listing on Agoda”"", 'Review_Body': ""They don't allow people through agoda and OYO and will ask you to make an offline booking. 4 times the cost on agoda/OyO.""}, {'Review_Rating': '4.4', 'Review_Heading': 'okayish”', 'Review_Body': 'the location might be a problem'}, {'Review_Rating': '4.4', 'Review_Heading': 'To reach the place is a task”', 'Review_Body': ""IF you don't know the area the place can be cruel to reach. The staff can be of pain at times the room could have been tidy. sheets are of problem, be careful you may find roaches in the room. ""}, {'Review_Rating': '4.4', 'Review_Heading': 'No power backup”', 'Review_Body': 'ITs was so uncomfortable, There was no power at all  the entire night & till morning almost the time to checkout'}], 'price': '1,108', 'img_link': 'https://pix8.agoda.net/hotelImages/18629551/-1/49d7f3f4943675c544b4d221e46cd5d4.jpg?ca=15&ce=1&s=1024x768', 'room_size': '0', 'amenities': ['Free Wi-Fi', 'Hair dryer', 'Toiletries', 'Free Wi-Fi in all rooms!', 'TV [flat screen]', 'Air conditioning', 'Fan', 'Microwave', 'Refrigerator', 'Closet', 'First aid kit', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/capital-o-73834-new-property-kiran2/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
98,"{'Location': '36, 1st cross, model colony, Yeshwanthpur, Rajajinagar, Bangalore, India, 560022', 'overall_rating': '8.7', 'Name': 'OYO 14424 Saarang Forever', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'nice stay”', 'Review_Body': 'best hotel  for stay in Bangalore  cleanliness  was good everything is in working condition staff was polite and helpful '}, {'Review_Rating': '7.6', 'Review_Heading': 'Worth for money”', 'Review_Body': 'Good hotel with good very near to station but should pay attention on cleanliness'}, {'Review_Rating': '8.8', 'Review_Heading': 'value for money and clean”', 'Review_Body': 'Good to stay and prime location near Yeswantpur circle'}, {'Review_Rating': '8.4', 'Review_Heading': 'Room was very good, spacious, clean & good service. It was a steal deal under INR 1400/- with taxes”', 'Review_Body': 'Room was kind of a duel set up with TV & couch after enterance & bedroom further inside  The room service guy, Kaperl was very kind &  helpful. The only minor negative thing was the location as it is situated somewhere in the market (like APMC area). However it was very easy to find on GMaps.'}, {'Review_Rating': '8.8', 'Review_Heading': 'Affordable room near Yashwantpur”', 'Review_Body': ""Our purpose of visit was more closer to Majestic so the hotel was a little further than expected and commute took time. But a very good option if you are looking for something near Yashwantpur. It's right next to the railway station too. Rooms were large with AC, fan and wifi. Plenty of food delivery options nearby and fine dine in options available too at walk-able distance of ~1 - 2 kms.\nWe arrived a little early and their check-in/out time is strict. So had to wait at reception for a while.""}, {'Review_Rating': '9.6', 'Review_Heading': 'Great location, comfortable stay!”', 'Review_Body': 'Extremely satisfied with the hotel!'}], 'price': '1,850', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/266923038.jpg?k=e3be2a9a781677abcabd2d8c690c99e2cecb2bb43c7de6d9c1947506f65bd371&o=', 'room_size': '19m²', 'amenities': ['Free Wi-Fi', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Fan', 'Linens', 'Sleep comfort items', 'Interconnecting room(s) available', 'Seating area', 'Separate dining area', 'Tile/marble flooring', 'Trash cans', 'Closet', 'Clothes rack', 'Ironing facilities', 'Accessible by elevator'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-14424-saarang-forever/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=6&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
99,"{'Location': '2746, E Block, Sahakar Nagar, Byatarayanapura,, Devanahalli, Bangalore, India, 560092', 'overall_rating': '6.6', 'Name': 'Urban Stay', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Very poor”', 'Review_Body': 'Room full of hair strands. Cupboards are smelling. No night lights. Baskets not cleaned daily. Leaking bathrooms.'}], 'price': '1,118', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/391063223.jpg?k=b0fdb08d5eb6565e9444ff77ce3a26e84fd827c9f90cbf8811cbda8328c4f177&o=', 'room_size': '190m²', 'amenities': ['Shower and bathtub', 'Free Wi-Fi', 'Toiletries', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Fan', 'Desk', 'Interconnecting room(s) available', 'Closet', 'Ironing facilities'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/urban-stay_26/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
100,"{'Location': 'Bangalore - Hyderabad Hwy, Devanahalli, Bangalore, India, 562157', 'overall_rating': '10', 'Name': 'Keerthis Royal Suites', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Very nice”', 'Review_Body': 'Really nice rooms and very comfortable near by airport and very quiet location'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': ""Located just near the airport and perfect location, the hotel is new also kept neat and clean.and provides u great hospitality.The hotel manger is very helpful and will guide u throughout your stay.The staffs were very helpful.The hotel provides good facilities at that price\r\nI'll recommend dis hotel to every couple and families:). You wont regret,just be there:)""}, {'Review_Rating': '10.0', 'Review_Heading': 'Very helpful staff and clean premises. Value for money. Highly recommended.”', 'Review_Body': 'Very neat and clean rooms and bathroom. Very polite, caring & very helpful staff.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Cleanliness'}, {'Review_Rating': '10.0', 'Review_Heading': 'The best place to relax.”', 'Review_Body': 'This brand new hotel has been built with superior attention to detail. \nhighest quality furnishing.\nphotos don’t do it justice. \nusually a hotel like this would be 2500r a night.'}, {'Review_Rating': '10.0', 'Review_Heading': 'The best transit hotel in Bangalore”', 'Review_Body': 'The hotel is a short 15 minutes from the airport and they will arrange for a pick up and drop off if requested. The quality of accommodation is Fanta for the price offered. The owner and his staff are extremely polite and friendly. Overall, a great place for a short or long stay. Definitely worth checking this place out.'}], 'price': '1,016', 'img_link': 'https://pix8.agoda.net/hotelImages/37125990/-1/5f138f58df6d7f9de3df6622d935e6df.jpg?ce=0&s=1024x768', 'room_size': '210m²', 'amenities': ['Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'Air conditioning', 'Individual air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/keerthis-royal-suites/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=51b417dc-bc7e-41ae-be83-6c7a4fd806b1'}"
